ticker,date,source_folder,reason,null_detail,had_exploded_markers
ACON,2025-01-03,ACON_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
AIRO,2025-06-16,AIRO_trades_2025_06_16.parquet,null_sip_timestamp_rate_0.9422,1991160/2113357,True
AMBP,2025-04-24,AMBP_trades_2025_04_24.parquet,null_sip_timestamp_rate_0.2150,6934/32247,True
AMPGW,2025-01-03,AMPGW_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
AMSC,2025-07-31,AMSC_trades_2025_07_31.parquet,null_sip_timestamp_rate_0.1359,9441/69455,True
APRE,2025-01-03,APRE_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
ARBE,2025-01-03,ARBE_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
AREB,2025-04-04,AREB_trades_2025_04_04.parquet,null_sip_timestamp_rate_0.9659,18127233/18766778,True
ATOM,2025-01-03,ATOM_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
ATRA,2025-01-03,ATRA_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
AUR,2025-02-13,AUR_trades_2025_02_13.parquet,null_sip_timestamp_rate_0.9958,29865288/29989829,True
BDMD,2025-01-03,BDMD_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
BGLC,2025-01-03,BGLC_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
BKYI,2025-01-03,BKYI_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
BNGO,2025-01-03,BNGO_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
CCM,2025-01-03,CCM_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
CHEK,2025-01-03,CHEK_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
CIFRW,2025-01-03,CIFRW_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
CLRO,2025-01-03,CLRO_trades_2025_01_03.parquet,missing_momentum_pct_column,,False
CMCT,2025-04-22,CMCT_trades_2025_04_22.parquet,null_sip_timestamp_rate_0.3627,5647/15568,True
CTW,2025-09-23,CTW_trades_2025_09_23.parquet,null_sip_timestamp_rate_0.6522,22154/33966,True
CXAI,2025-04-04,CXAI_trades_2025_04_04.parquet,null_sip_timestamp_rate_0.9760,7651491/7839340,True
DNOW,2025-02-13,DNOW_trades_2025_02_13.parquet,null_sip_timestamp_rate_0.9992,25890047/25909945,True
DOCN,2025-08-05,DOCN_trades_2025_08_05.parquet,null_sip_timestamp_rate_0.3357,46854/139584,True
EDUC,2025-09-17,EDUC_trades_2025_09_17.parquet,null_sip_timestamp_rate_0.9135,672465/736147,True
ENTA,2025-02-13,ENTA_trades_2025_02_13.parquet,null_sip_timestamp_rate_0.9987,10084441/10097443,True
GO,2025-08-06,GO_trades_2025_08_06.parquet,null_sip_timestamp_rate_0.2046,36539/178556,True
GTN.A,2025-06-12,GTN.A_trades_2025_06_12.parquet,null_sip_timestamp_rate_0.9007,7812/8673,True
LC,2025-07-30,LC_trades_2025_07_30.parquet,null_sip_timestamp_rate_0.2420,21362/88286,True
LSE,2025-06-13,LSE_trades_2025_06_13.parquet,null_sip_timestamp_rate_0.1786,250/1400,True
MYGN,2025-08-06,MYGN_trades_2025_08_06.parquet,null_sip_timestamp_rate_0.2095,23205/110778,True
ODP,2025-09-22,ODP_trades_2025_09_22.parquet,null_sip_timestamp_rate_0.2933,12817/43699,True
OESX,2025-08-06,OESX_trades_2025_08_06.parquet,null_sip_timestamp_rate_0.1583,693/4378,True
PCTTU,2025-06-17,PCTTU_trades_2025_06_17.parquet,null_sip_timestamp_rate_0.1398,13/93,True
PEGA,2025-04-23,PEGA_trades_2025_04_23.parquet,null_sip_timestamp_rate_0.1254,8424/67164,True
PLUG,2025-06-09,PLUG_trades_2025_06_09.parquet,null_sip_timestamp_rate_0.1647,21101/128110,True
RUBI,2025-08-05,RUBI_trades_2025_08_05.parquet,null_sip_timestamp_rate_0.2501,22388/89506,True
SAFX,2025-06-17,SAFX_trades_2025_06_17.parquet,null_sip_timestamp_rate_0.9048,1887485/2085998,True
SAGT,2025-04-24,SAGT_trades_2025_04_24.parquet,null_sip_timestamp_rate_0.4698,522/1111,True
SEAT,2025-08-06,SEAT_trades_2025_08_06.parquet,null_sip_timestamp_rate_0.4148,15145/36510,True
SOPA,2025-02-13,SOPA_trades_2025_02_13.parquet,null_sip_timestamp_rate_0.9983,8706436/8721311,True
SPAI,2025-02-13,SPAI_trades_2025_02_13.parquet,null_sip_timestamp_rate_0.9948,1306652/1313440,True
STAA,2025-08-05,STAA_trades_2025_08_05.parquet,null_sip_timestamp_rate_0.1268,12812/101008,True
TCMD,2025-08-05,TCMD_trades_2025_08_05.parquet,null_sip_timestamp_rate_0.3026,5961/19702,True
TDW,2025-08-05,TDW_trades_2025_08_05.parquet,null_sip_timestamp_rate_0.2276,16015/70367,True
XHG,2025-02-13,XHG_trades_2025_02_13.parquet,null_sip_timestamp_rate_0.9864,3370494/3416954,True
XRTX,2025-02-27,XRTX_trades_2025_02_27.parquet,null_sip_timestamp_rate_0.3710,1545/4164,True
