dest_dir,status,detail
AACG_2025-07-21_40.24,good,1466
AACG_2025-07-30_37.29,good,2012
AACG_2025-07-31_35.29,good,3589
AACG_2025-08-04_38.89,good,28183
AAME_2025-08-14_30.61,good,1009
AAOI_2025-03-14_49.28,good,143646
AAOI_2025-04-09_35.56,good,55420
AAP_2025-05-22_59.82,good,253474
AAPB_2025-04-09_31.41,good,5248
AAPU_2025-04-09_32.07,good,31158
AARD_2025-02-20_31.41,good,4451
ABAT_2025-04-29_33.91,good,25056
ABAT_2025-07-21_37.50,good,67491
ABAT_2025-10-13_50.81,good,230109
ABAT_2025-10-20_41.65,good,187317
ABEO_2025-04-30_38.18,good,89936
ABLLL_2025-01-07_31.62,good,189
ABLV_2025-01-08_33.09,good,85
ABLV_2025-02-11_70.44,good,6707
ABLV_2025-03-07_138.55,good,32527
ABLV_2025-03-19_40.62,good,1015
ABLV_2025-09-10_70.21,good,2444
ABP_2025-05-15_130.36,good,437538
ABP_2025-05-19_43.43,good,149177
ABP_2025-05-28_30.41,good,14632
ABP_2025-07-23_32.61,good,23161
ABP_2025-07-28_44.26,good,48443
ABSI_2025-01-08_37.46,good,289986
ABSI_2025-01-22_36.65,good,92205
ABTS_2025-04-14_33.01,good,721
ABTS_2025-04-25_30.27,good,470
ABTS_2025-05-09_303.43,good,58834
ABTS_2025-07-02_36.57,good,1550
ABTS_2025-07-11_36.02,good,1466
ABTS_2025-09-19_45.19,good,1616
ABTS_2025-09-22_34.51,good,1910
ABVC_2025-04-01_32.08,good,4796
ABVC_2025-04-07_80.59,good,12891
ABVC_2025-07-08_37.34,good,11689
ABVE_2025-04-28_50.00,good,11985
ABVE_2025-04-29_54.75,good,26139
ABVE_2025-04-30_41.22,good,20383
ABVE_2025-05-01_68.79,good,13111
ABVE_2025-05-13_39.62,good,3339
ABVE_2025-05-22_31.47,good,2709
ABVE_2025-06-16_35.45,good,3531
ABVE_2025-07-07_85.53,good,26865
ABVE_2025-07-10_480.82,good,907583
ABVE_2025-07-11_183.87,good,1319018
ABVE_2025-07-17_127.98,good,677358
ABVE_2025-09-24_33.56,good,17928
ABVE_2025-10-08_70.61,good,155089
ABVE_2025-10-23_30.13,good,16886
ABVEW_2025-10-08_57.14,good,1872
ABVEW_2025-10-16_57.89,good,3420
ABVEW_2025-10-17_31.42,good,580
ABVEW_2025-10-27_36.21,good,1448
ABVX_2025-07-23_613.50,good,421938
ACAD_2025-05-16_43.35,good,175308
ACB_2025-02-05_54.62,good,315869
ACB_2025-09-29_32.30,good,54482
ACCL_2025-10-24_36.36,good,1628
ACCL_2025-10-31_39.42,good,2763
ACHR.WS_2025-04-09_33.10,good,542
ACHR.WS_2025-05-13_39.75,good,3115
ACHR.WS_2025-05-16_32.60,good,3207
ACHR.WS_2025-10-06_41.98,good,3295
ACHV_2025-10-17_44.15,good,76585
ACOG_2025-05-16_42.14,good,3165
ACON_2025-01-24_77.31,good,240518
ACON_2025-01-30_126.21,good,53189
ACON_2025-02-04_31.88,good,92894
ACON_2025-02-28_109.13,good,81250
ACON_2025-03-03_153.73,good,649826
ACON_2025-03-05_44.52,good,38809
ACON_2025-03-14_37.23,good,27023
ACON_2025-03-17_48.96,good,175230
ACON_2025-10-13_39.93,good,111800
ACRV_2025-02-05_35.36,good,7889
ACRV_2025-04-15_46.00,good,9292
ACRV_2025-09-08_100.75,good,175641
ACXP_2025-01-06_40.47,good,4380
ACXP_2025-06-17_241.91,good,637119
ACXP_2025-08-28_46.82,good,4433
ACXP_2025-10-08_94.41,good,392108
ADAG_2025-08-06_36.90,good,1309
ADAG_2025-09-09_32.22,good,1959
ADCT_2025-05-14_37.88,good,10268
ADGM_2025-04-17_210.88,good,468377
