folder,total,null_sip_timestamp,null_price,null_size,error
AACG_trades_2025_07_21.parquet,1466,0,0,0,
AACG_trades_2025_07_30.parquet,2012,0,0,0,
AACG_trades_2025_07_31.parquet,3589,0,0,0,
AACG_trades_2025_08_04.parquet,28183,0,0,0,
AAME_trades_2025_08_14.parquet,1009,0,0,0,
AAOI_trades_2025_03_14.parquet,143646,0,0,0,
AAOI_trades_2025_04_09.parquet,55420,0,0,0,
AAPB_trades_2025_04_09.parquet,5248,0,0,0,
AAPU_trades_2025_04_09.parquet,31158,0,0,0,
AAP_trades_2025_05_22.parquet,253474,0,0,0,
AARD_trades_2025_02_20.parquet,4451,0,0,0,
ABAT_trades_2025_04_29.parquet,25056,0,0,0,
ABAT_trades_2025_07_21.parquet,67491,0,0,0,
ABAT_trades_2025_10_13.parquet,230109,0,0,0,
ABAT_trades_2025_10_20.parquet,187317,0,0,0,
ABEO_trades_2025_04_30.parquet,89936,0,0,0,
ABLLL_trades_2025_01_07.parquet,189,0,0,0,
ABLV_trades_2025_01_08.parquet,85,0,0,0,
ABLV_trades_2025_02_11.parquet,6707,0,0,0,
ABLV_trades_2025_03_07.parquet,32527,0,0,0,
ABLV_trades_2025_03_19.parquet,1015,0,0,0,
ABLV_trades_2025_09_10.parquet,2444,0,0,0,
ABP_trades_2025_05_15.parquet,437538,0,0,0,
ABP_trades_2025_05_19.parquet,149177,0,0,0,
ABP_trades_2025_05_28.parquet,14632,0,0,0,
ABP_trades_2025_07_23.parquet,23161,0,0,0,
ABP_trades_2025_07_28.parquet,48443,0,0,0,
ABSI_trades_2025_01_08.parquet,289986,0,0,0,
ABSI_trades_2025_01_22.parquet,92205,0,0,0,
ABTS_trades_2025_04_14.parquet,721,0,0,0,
ABTS_trades_2025_04_25.parquet,470,0,0,0,
ABTS_trades_2025_05_09.parquet,58834,0,0,0,
ABTS_trades_2025_07_02.parquet,1550,0,0,0,
ABTS_trades_2025_07_11.parquet,1466,0,0,0,
ABTS_trades_2025_09_19.parquet,1616,0,0,0,
ABTS_trades_2025_09_22.parquet,1910,0,0,0,
ABVC_trades_2025_04_01.parquet,4796,0,0,0,
ABVC_trades_2025_04_07.parquet,12891,0,0,0,
ABVC_trades_2025_07_08.parquet,11689,0,0,0,
ABVEW_trades_2025_10_08.parquet,1872,0,0,0,
ABVEW_trades_2025_10_16.parquet,3420,0,0,0,
ABVEW_trades_2025_10_17.parquet,580,0,0,0,
ABVEW_trades_2025_10_27.parquet,1448,0,0,0,
ABVE_trades_2025_04_28.parquet,11985,0,0,0,
ABVE_trades_2025_04_29.parquet,26139,0,0,0,
ABVE_trades_2025_04_30.parquet,20383,0,0,0,
ABVE_trades_2025_05_01.parquet,13111,0,0,0,
ABVE_trades_2025_05_13.parquet,3339,0,0,0,
ABVE_trades_2025_05_22.parquet,2709,0,0,0,
ABVE_trades_2025_06_16.parquet,3531,0,0,0,
ABVE_trades_2025_07_07.parquet,26865,0,0,0,
ABVE_trades_2025_07_10.parquet,907583,0,0,0,
ABVE_trades_2025_07_11.parquet,1319018,0,0,0,
ABVE_trades_2025_07_17.parquet,677358,0,0,0,
ABVE_trades_2025_09_24.parquet,17928,0,0,0,
ABVE_trades_2025_10_08.parquet,155089,0,0,0,
ABVE_trades_2025_10_23.parquet,16886,0,0,0,
ABVX_trades_2025_07_23.parquet,421938,0,0,0,
ACAD_trades_2025_05_16.parquet,175308,0,0,0,
ACB_trades_2025_02_05.parquet,315869,0,0,0,
ACB_trades_2025_09_29.parquet,54482,0,0,0,
ACCL_trades_2025_10_24.parquet,1628,0,0,0,
ACCL_trades_2025_10_31.parquet,2763,0,0,0,
ACHR.WS_trades_2025_04_09.parquet,542,0,0,0,
ACHR.WS_trades_2025_05_13.parquet,3115,0,0,0,
ACHR.WS_trades_2025_05_16.parquet,3207,0,0,0,
ACHR.WS_trades_2025_10_06.parquet,3295,0,0,0,
ACHV_trades_2025_10_17.parquet,76585,0,0,0,
ACOG_trades_2025_05_16.parquet,3165,0,0,0,
ACON_trades_2025_01_03.parquet,231292,0,0,0,
ACON_trades_2025_01_24.parquet,240518,0,0,0,
ACON_trades_2025_01_30.parquet,53189,0,0,0,
ACON_trades_2025_02_04.parquet,92894,0,0,0,
ACON_trades_2025_02_28.parquet,81250,0,0,0,
ACON_trades_2025_03_03.parquet,649826,0,0,0,
ACON_trades_2025_03_05.parquet,38809,0,0,0,
ACON_trades_2025_03_14.parquet,27023,0,0,0,
ACON_trades_2025_03_17.parquet,175230,0,0,0,
ACON_trades_2025_10_13.parquet,111800,0,0,0,
ACRV_trades_2025_02_05.parquet,7889,0,0,0,
ACRV_trades_2025_04_15.parquet,9292,0,0,0,
ACRV_trades_2025_09_08.parquet,175641,0,0,0,
ACXP_trades_2025_01_06.parquet,4380,0,0,0,
ACXP_trades_2025_06_17.parquet,637119,0,0,0,
ACXP_trades_2025_08_28.parquet,4433,0,0,0,
ACXP_trades_2025_10_08.parquet,392108,0,0,0,
ADAG_trades_2025_08_06.parquet,1309,0,0,0,
ADAG_trades_2025_09_09.parquet,1959,0,0,0,
ADCT_trades_2025_05_14.parquet,10268,0,0,0,
ADGM_trades_2025_04_17.parquet,468377,0,0,0,
ADGM_trades_2025_08_27.parquet,695,0,0,0,
ADIL_trades_2025_02_25.parquet,112576,0,0,0,
ADIL_trades_2025_05_02.parquet,60000,0,0,0,
ADPT_trades_2025_05_02.parquet,130225,0,0,0,
ADSEW_trades_2025_05_09.parquet,287,0,0,0,
ADSEW_trades_2025_05_16.parquet,347,0,0,0,
ADSEW_trades_2025_06_04.parquet,413,0,0,0,
ADSEW_trades_2025_06_10.parquet,92,0,0,0,
ADSEW_trades_2025_07_18.parquet,169,0,0,0,
ADSEW_trades_2025_08_29.parquet,114,0,0,0,
ADSEW_trades_2025_09_30.parquet,273,0,0,0,
ADSEW_trades_2025_10_20.parquet,128,0,0,0,
ADTX_trades_2025_01_15.parquet,71230,0,0,0,
ADTX_trades_2025_01_16.parquet,186484,0,0,0,
ADTX_trades_2025_02_18.parquet,355531,0,0,0,
ADTX_trades_2025_02_19.parquet,249653,0,0,0,
ADTX_trades_2025_03_05.parquet,50708,0,0,0,
ADTX_trades_2025_03_18.parquet,679860,0,0,0,
ADTX_trades_2025_03_19.parquet,380177,0,0,0,
ADTX_trades_2025_04_17.parquet,6517,0,0,0,
ADTX_trades_2025_06_25.parquet,82303,0,0,0,
ADVB_trades_2025_04_28.parquet,219,0,0,0,
ADVB_trades_2025_05_12.parquet,911,0,0,0,
ADVM_trades_2025_09_19.parquet,5154,0,0,0,
ADVM_trades_2025_09_23.parquet,57991,0,0,0,
ADXN_trades_2025_02_24.parquet,943,0,0,0,
ADXN_trades_2025_06_06.parquet,733,0,0,0,
ADXN_trades_2025_09_12.parquet,28692,0,0,0,
ADXN_trades_2025_10_17.parquet,6617,0,0,0,
AEBI_trades_2025_07_03.parquet,84588,0,0,0,
AEHL_trades_2025_02_12.parquet,18007,0,0,0,
AEHL_trades_2025_04_04.parquet,76671,0,0,0,
AEHL_trades_2025_04_09.parquet,296752,0,0,0,
AEHL_trades_2025_04_11.parquet,6629,0,0,0,
AEHL_trades_2025_04_22.parquet,4417,0,0,0,
AEHL_trades_2025_07_29.parquet,89161,0,0,0,
AEHL_trades_2025_08_14.parquet,1695,0,0,0,
AEHL_trades_2025_09_10.parquet,678415,0,0,0,
AEHR_trades_2025_04_09.parquet,25210,0,0,0,
AEHR_trades_2025_07_22.parquet,77051,0,0,0,
AEHR_trades_2025_08_25.parquet,105463,0,0,0,
AEI_trades_2025_06_30.parquet,3286,0,0,0,
AEI_trades_2025_09_03.parquet,95111,0,0,0,
AEI_trades_2025_09_08.parquet,4966,0,0,0,
AEI_trades_2025_09_11.parquet,11632,0,0,0,
AEI_trades_2025_09_16.parquet,9910,0,0,0,
AEMD_trades_2025_07_09.parquet,21193,0,0,0,
AEMD_trades_2025_08_21.parquet,546687,0,0,0,
AEMD_trades_2025_08_28.parquet,7342,0,0,0,
AEO_trades_2025_09_04.parquet,457332,0,0,0,
AERT_trades_2025_06_10.parquet,6258,0,0,0,
AERT_trades_2025_06_16.parquet,3993,0,0,0,
AERT_trades_2025_08_14.parquet,360109,0,0,0,
AERT_trades_2025_09_18.parquet,360443,0,0,0,
AEVAW_trades_2025_06_27.parquet,498,0,0,0,
AEVAW_trades_2025_07_02.parquet,425,0,0,0,
AEVA_trades_2025_03_20.parquet,29015,0,0,0,
AFRIW_trades_2025_01_30.parquet,28,0,0,0,
AFRIW_trades_2025_02_12.parquet,975,0,0,0,
AGAE_trades_2025_01_06.parquet,699,0,0,0,
AGAE_trades_2025_05_12.parquet,7774,0,0,0,
AGAE_trades_2025_05_28.parquet,23127,0,0,0,
AGAE_trades_2025_06_03.parquet,1961,0,0,0,
AGAE_trades_2025_06_12.parquet,2090,0,0,0,
AGAE_trades_2025_09_12.parquet,451785,0,0,0,
AGCC_trades_2025_10_28.parquet,6550,0,0,0,
AGEN_trades_2025_04_22.parquet,21650,1650,0,0,
AGEN_trades_2025_05_12.parquet,20812,0,0,0,
AGH_trades_2025_02_19.parquet,4624,0,0,0,
AGH_trades_2025_02_20.parquet,13884,0,0,0,
AGH_trades_2025_02_26.parquet,5080,0,0,0,
AGH_trades_2025_03_20.parquet,16384,0,0,0,
AGH_trades_2025_07_23.parquet,83050,0,0,0,
AGH_trades_2025_07_25.parquet,19513,0,0,0,
AGH_trades_2025_08_11.parquet,6493,0,0,0,
AGH_trades_2025_09_10.parquet,5349,0,0,0,
AGH_trades_2025_09_26.parquet,8087,0,0,0,
AGH_trades_2025_10_20.parquet,7040,0,0,0,
AGL_trades_2025_04_08.parquet,88494,0,0,0,
AGMH_trades_2025_03_06.parquet,592193,0,0,0,
AGMH_trades_2025_04_02.parquet,49865,0,0,0,
AGMH_trades_2025_04_23.parquet,307771,0,0,0,
AGMH_trades_2025_04_25.parquet,137020,0,0,0,
AGMH_trades_2025_04_28.parquet,657122,0,0,0,
AGMH_trades_2025_05_05.parquet,153002,0,0,0,
AGMH_trades_2025_05_16.parquet,94024,0,0,0,
AGMH_trades_2025_06_04.parquet,30083,0,0,0,
AGMH_trades_2025_09_09.parquet,2854,0,0,0,
AGMH_trades_2025_09_10.parquet,70659,0,0,0,
AGMH_trades_2025_09_19.parquet,2056601,0,0,0,
AGRZ_trades_2025_10_07.parquet,5974,0,0,0,
AGRZ_trades_2025_10_08.parquet,3095,0,0,0,
AGRZ_trades_2025_10_10.parquet,4465,0,0,0,
AGRZ_trades_2025_10_16.parquet,5334,0,0,0,
AGRZ_trades_2025_10_21.parquet,3383,0,0,0,
AGX_trades_2025_03_28.parquet,33143,0,0,0,
AHG_trades_2025_04_22.parquet,1380,0,0,0,
AHG_trades_2025_07_09.parquet,5961,0,0,0,
AHMA_trades_2025_10_29.parquet,3735,0,0,0,
AHT_trades_2025_02_13.parquet,1936,0,0,0,
AIFF_trades_2025_01_14.parquet,704763,0,0,0,
AIFF_trades_2025_02_11.parquet,1095082,0,0,0,
AIFF_trades_2025_02_12.parquet,756671,0,0,0,
AIFF_trades_2025_02_13.parquet,390324,0,0,0,
AIFF_trades_2025_03_14.parquet,10959,0,0,0,
AIFF_trades_2025_03_17.parquet,14691,0,0,0,
AIFF_trades_2025_05_05.parquet,213849,0,0,0,
AIFF_trades_2025_08_26.parquet,374746,0,0,0,
AIFU_trades_2025_02_07.parquet,6089,0,0,0,
AIFU_trades_2025_05_02.parquet,74941,0,0,0,
AIFU_trades_2025_05_06.parquet,431657,0,0,0,
AIFU_trades_2025_05_12.parquet,64273,0,0,0,
AIFU_trades_2025_06_24.parquet,14341,0,0,0,
AIHS_trades_2025_06_05.parquet,95898,0,0,0,
AIHS_trades_2025_06_10.parquet,22567,0,0,0,
AIHS_trades_2025_09_03.parquet,1254750,0,0,0,
AIHS_trades_2025_09_08.parquet,8761,0,0,0,
AIHS_trades_2025_09_16.parquet,386789,0,0,0,
AIHS_trades_2025_10_01.parquet,101117,0,0,0,
AIIO_trades_2025_09_15.parquet,97959,0,0,0,
AIIO_trades_2025_09_16.parquet,102241,0,0,0,
AIIO_trades_2025_09_18.parquet,61203,0,0,0,
AIIO_trades_2025_09_25.parquet,54348,0,0,0,
AIIO_trades_2025_09_30.parquet,80752,0,0,0,
AIMD_trades_2025_01_06.parquet,11094,0,0,0,
AIMD_trades_2025_01_10.parquet,25351,0,0,0,
AIMD_trades_2025_01_14.parquet,2121,0,0,0,
AIMD_trades_2025_05_28.parquet,2257,0,0,0,
AIMD_trades_2025_08_06.parquet,765967,0,0,0,
AIOT_trades_2025_02_10.parquet,60871,0,0,0,
AIP_trades_2025_08_05.parquet,239838,0,0,0,
AIP_trades_2025_10_06.parquet,36782,0,0,0,
AIRE_trades_2025_09_11.parquet,248699,0,0,0,
AIRE_trades_2025_09_12.parquet,195083,0,0,0,
AIRE_trades_2025_10_22.parquet,461094,0,0,0,
AIRE_trades_2025_10_23.parquet,127728,0,0,0,
AIRG_trades_2025_07_18.parquet,3941,0,0,0,
AIRJW_trades_2025_02_13.parquet,198,0,0,0,
AIRJW_trades_2025_10_15.parquet,1464,0,0,0,
AIRO_trades_2025_06_16.parquet,2113357,1991160,0,0,
AIRO_trades_2025_07_11.parquet,40463,0,0,0,
AIRS_trades_2025_05_02.parquet,16829,0,0,0,
AISPW_trades_2025_01_14.parquet,326,0,0,0,
AISPW_trades_2025_01_15.parquet,694,0,0,0,
AISPW_trades_2025_02_26.parquet,184,0,0,0,
AISPW_trades_2025_03_25.parquet,459,0,0,0,
AISPW_trades_2025_05_19.parquet,978,0,0,0,
AISPW_trades_2025_09_12.parquet,773,0,0,0,
AISPW_trades_2025_10_06.parquet,1493,0,0,0,
AISPW_trades_2025_10_13.parquet,583,0,0,0,
AI_trades_2025_05_29.parquet,433407,0,0,0,
AKAN_trades_2025_08_01.parquet,34493,0,0,0,
AKAN_trades_2025_09_29.parquet,5105,0,0,0,
AKAN_trades_2025_10_01.parquet,237206,0,0,0,
AKA_trades_2025_05_14.parquet,3343,0,0,0,
AKA_trades_2025_10_14.parquet,8175,0,0,0,
AKBA_trades_2025_03_14.parquet,30456,0,0,0,
AKRO_trades_2025_01_27.parquet,181975,0,0,0,
AKTX_trades_2025_03_20.parquet,691,0,0,0,
AKTX_trades_2025_09_24.parquet,9302,0,0,0,
ALAB_trades_2025_08_06.parquet,244325,0,0,0,
ALAR_trades_2025_06_09.parquet,17457,0,0,0,
ALBT_trades_2025_02_26.parquet,3277,0,0,0,
ALBT_trades_2025_03_14.parquet,641,0,0,0,
ALBT_trades_2025_03_19.parquet,838,0,0,0,
ALBT_trades_2025_04_16.parquet,3261,0,0,0,
ALBT_trades_2025_07_28.parquet,162265,0,0,0,
ALDFW_trades_2025_10_17.parquet,316,0,0,0,
ALDX_trades_2025_04_04.parquet,55911,0,0,0,
ALEC_trades_2025_08_08.parquet,33427,0,0,0,
ALLO_trades_2025_02_14.parquet,82854,0,0,0,
ALLO_trades_2025_02_18.parquet,244185,0,0,0,
ALLO_trades_2025_02_19.parquet,95101,0,0,0,
ALLR_trades_2025_01_08.parquet,70103,0,0,0,
ALLR_trades_2025_01_23.parquet,19670,0,0,0,
ALLR_trades_2025_01_27.parquet,35751,0,0,0,
ALLR_trades_2025_08_26.parquet,946049,0,0,0,
ALMS_trades_2025_03_25.parquet,122083,0,0,0,
ALMS_trades_2025_03_26.parquet,42235,0,0,0,
ALMS_trades_2025_04_02.parquet,26778,0,0,0,
ALMU_trades_2025_04_28.parquet,2282,0,0,0,
ALMU_trades_2025_06_25.parquet,9831,0,0,0,
