filename,reason,size_bytes
AACG_2021-02-04_metadata.json,already_in_filtered,342
AACG_2021-02-04_trades.parquet,already_in_filtered,5605421
AACG_trades_2020_06_11.json,already_in_filtered,133
AACG_trades_2020_06_11.parquet,already_in_filtered,24174
AACG_trades_2020_06_16.json,already_in_filtered,133
AACG_trades_2020_06_16.parquet,already_in_filtered,48861
AACG_trades_2020_08_03.json,already_in_filtered,132
AACG_trades_2020_08_03.parquet,already_in_filtered,15850
AACG_trades_2020_10_12.json,already_in_filtered,133
AACG_trades_2020_10_12.parquet,already_in_filtered,26912
AACG_trades_2021_02_04.json,already_in_filtered,140
AACG_trades_2021_02_04.parquet,already_in_filtered,5604975
AACG_trades_2021_03_26.json,already_in_filtered,135
AACG_trades_2021_03_26.parquet,already_in_filtered,206430
AACG_trades_2021_07_15.json,already_in_filtered,135
AACG_trades_2021_07_15.parquet,already_in_filtered,842738
AACG_trades_2022_01_04.json,already_in_filtered,136
AACG_trades_2022_01_04.parquet,already_in_filtered,294151
AACG_trades_2022_01_07.json,already_in_filtered,135
AACG_trades_2022_01_07.parquet,already_in_filtered,202069
AACG_trades_2023_12_27.json,already_in_filtered,132
AACG_trades_2023_12_27.parquet,already_in_filtered,13908
AACG_trades_2025_07_21.parquet,migrated_and_verified,50877
AACG_trades_2025_07_30.parquet,migrated_and_verified,68132
AACG_trades_2025_07_31.parquet,migrated_and_verified,109257
AACG_trades_2025_08_04.parquet,migrated_and_verified,663354
AAL_trades_2020_03_24.json,already_in_filtered,136
AAL_trades_2020_03_24.parquet,already_in_filtered,7735202
AAL_trades_2020_06_04.json,already_in_filtered,137
AAL_trades_2020_06_04.parquet,already_in_filtered,5149051
AAL_trades_2020_06_05.json,already_in_filtered,137
AAL_trades_2020_06_05.parquet,already_in_filtered,6313068
AAL_trades_2021_01_28.json,already_in_filtered,137
AAL_trades_2021_01_28.parquet,already_in_filtered,5628922
AAME_2021-02-05_metadata.json,already_in_filtered,280
AAME_2021-02-05_trades.parquet,already_in_filtered,3252836
AAME_trades_2020_06_17.json,already_in_filtered,132
AAME_trades_2020_06_17.parquet,already_in_filtered,16803
AAME_trades_2020_08_19.json,already_in_filtered,133
AAME_trades_2020_08_19.parquet,already_in_filtered,18905
AAME_trades_2021_01_05.json,already_in_filtered,133
AAME_trades_2021_01_05.parquet,already_in_filtered,62650
AAME_trades_2021_02_05.json,already_in_filtered,137
AAME_trades_2021_02_05.parquet,already_in_filtered,3252836
AAME_trades_2021_02_08.json,already_in_filtered,135
AAME_trades_2021_02_08.parquet,already_in_filtered,448483
AAME_trades_2021_02_12.json,already_in_filtered,133
AAME_trades_2021_02_12.parquet,already_in_filtered,102907
AAME_trades_2021_03_19.json,already_in_filtered,136
AAME_trades_2021_03_19.parquet,already_in_filtered,570021
AAME_trades_2025_08_14.parquet,migrated_and_verified,37271
AAOI_trades_2022_09_16.json,already_in_filtered,136
AAOI_trades_2022_09_16.parquet,already_in_filtered,1298344
AAOI_trades_2023_08_04.json,already_in_filtered,136
AAOI_trades_2023_08_04.parquet,already_in_filtered,968666
AAOI_trades_2024_11_08.json,already_in_filtered,136
AAOI_trades_2024_11_08.parquet,already_in_filtered,922574
AAOI_trades_2025_03_14.parquet,migrated_and_verified,3347680
AAOI_trades_2025_04_09.parquet,migrated_and_verified,1355370
AAPB_trades_2025_04_09.parquet,migrated_and_verified,147225
AAPU_trades_2025_04_09.parquet,migrated_and_verified,861580
AAP_trades_2025_05_22.parquet,migrated_and_verified,6695448
AARD_trades_2025_02_20.parquet,migrated_and_verified,124725
AA_trades_2020_03_24.json,already_in_filtered,133
AA_trades_2020_03_24.parquet,already_in_filtered,1452435
ABAT_trades_2024_12_18.json,already_in_filtered,135
ABAT_trades_2024_12_18.parquet,already_in_filtered,577757
ABAT_trades_2024_12_19.json,already_in_filtered,135
ABAT_trades_2024_12_19.parquet,already_in_filtered,188615
ABAT_trades_2024_12_23.json,already_in_filtered,136
ABAT_trades_2024_12_23.parquet,already_in_filtered,923823
ABAT_trades_2024_12_24.json,already_in_filtered,136
ABAT_trades_2024_12_24.parquet,already_in_filtered,888901
ABAT_trades_2024_12_26.json,already_in_filtered,136
ABAT_trades_2024_12_26.parquet,already_in_filtered,963967
ABAT_trades_2024_12_27.json,already_in_filtered,135
ABAT_trades_2024_12_27.parquet,already_in_filtered,632718
ABAT_trades_2025_04_29.parquet,migrated_and_verified,598472
ABAT_trades_2025_07_21.parquet,migrated_and_verified,1571225
ABAT_trades_2025_10_13.parquet,migrated_and_verified,5337534
ABAT_trades_2025_10_20.parquet,migrated_and_verified,4618514
ABCL_trades_2021_03_31.json,already_in_filtered,135
ABCL_trades_2021_03_31.parquet,already_in_filtered,685548
ABEO_trades_2020_03_17.json,already_in_filtered,134
ABEO_trades_2020_03_17.parquet,already_in_filtered,221778
ABEO_trades_2021_02_08.json,already_in_filtered,135
ABEO_trades_2021_02_08.parquet,already_in_filtered,323896
ABEO_trades_2022_10_07.json,already_in_filtered,135
ABEO_trades_2022_10_07.parquet,already_in_filtered,171754
ABEO_trades_2025_04_30.parquet,migrated_and_verified,2162626
ABLLL_trades_2025_01_07.parquet,migrated_and_verified,13451
ABLV_trades_2023_11_17.json,already_in_filtered,133
ABLV_trades_2023_11_17.parquet,already_in_filtered,21268
ABLV_trades_2024_01_16.json,already_in_filtered,133
ABLV_trades_2024_01_16.parquet,already_in_filtered,25805
ABLV_trades_2025_01_08.parquet,migrated_and_verified,10671
ABLV_trades_2025_02_11.parquet,migrated_and_verified,185058
ABLV_trades_2025_03_07.parquet,migrated_and_verified,861549
ABLV_trades_2025_03_19.parquet,migrated_and_verified,36734
ABLV_trades_2025_09_10.parquet,migrated_and_verified,79503
ABL_trades_2023_08_28.json,already_in_filtered,132
ABL_trades_2023_08_28.parquet,already_in_filtered,16178
ABOS_trades_2022_09_28.json,already_in_filtered,138
ABOS_trades_2022_09_28.parquet,already_in_filtered,3433766
ABOS_trades_2023_05_05.json,already_in_filtered,133
ABOS_trades_2023_05_05.parquet,already_in_filtered,64601
ABOS_trades_2023_07_17.json,already_in_filtered,137
ABOS_trades_2023_07_17.parquet,already_in_filtered,1580799
ABP_2024-12-20_metadata.json,already_in_filtered,241
ABP_2024-12-20_trades.parquet,already_in_filtered,484793
ABP_trades_2024_12_19.json,already_in_filtered,136
ABP_trades_2024_12_19.parquet,already_in_filtered,607286
ABP_trades_2024_12_20.json,already_in_filtered,135
