loader_name,intended_source_per_doc,actual_source_per_code,target_table_or_view,table_exists_in_db,row_count,coverage_summary,last_populated,status_classification,notes
filtered,data/filtered/*/trades.parquet,"data/filtered/{TICKER}_{YYYY-MM-DD}_{mom}/trades.parquet and quotes.parquet",filtered_trades; filtered_quotes,FALSE,0,"Source has 29208 event directories on disk (matches canonical count); DB has zero rows because table absent",N/A - never ingested,not ingested - source abundant & current,Doc omits that quotes.parquet is also loaded; doc table name filtered_* vs actual two distinct table names
daily,data/daily/*.parquet,data/daily/*_daily.parquet,daily_bars,FALSE,0,"~1848 *_daily.parquet files present on disk",N/A - never ingested,not ingested - source abundant,Doc table name 'daily' vs actual 'daily_bars'
minute,data/minute/**/*.parquet,"data/minute/{TICKER}/{date}.parquet (flat layout); code also handles a nested fallback layout",minute_bars,FALSE,0,"~3377 ticker directories present on disk",N/A - never ingested,not ingested - source abundant,Doc table name 'minute' vs actual 'minute_bars'; doc implies simple recursive glob but code manually walks two possible layouts
second10,data/second10/**/*.parquet,data/second10/{TICKER}/*.parquet (one level not recursive),second10_bars,FALSE,0,"~2806 ticker directories present on disk",N/A - never ingested,not ingested - source abundant,Doc table name 'second10' vs actual 'second10_bars'
quote_data,data/quote_data/*.parquet,"data/quote_data/{TICKER}_quotes_{YYYY}_{MM}_{DD}.parquet",raw_quotes,FALSE,0,"~19136 parquet files present on disk",N/A - never ingested,not ingested - source abundant,Doc table name 'quote_data' vs actual 'raw_quotes'
momentum_events,data/momentum_events/*.parquet,data/momentum_events/filtered_events_power_law_q05.parquet (single named file only),momentum_events,FALSE,0,"Target file present; 3 other parquet/csv files in dir are not loaded by this loader",N/A - never ingested,not ingested - source present,Doc implies all parquet in dir loaded; code loads exactly one named file
metadata,data/metadata/*.json,"data/metadata/collection_stats.parquet, data/metadata/symbols_metadata.parquet",collection_stats; symbols_metadata,FALSE,0,"Both source parquet files present on disk",N/A - never ingested,not ingested - source present,"Doc says source is *.json - actual source is parquet, not JSON. Doc table name 'metadata' (singular) vs actual two tables"
market_hours,data/market-hours/*.json,data/market-hours/market-hours-database.json,market_hours,FALSE,0,"Source file present on disk",N/A - never ingested,not ingested - source present,Matches doc closely
symbol_properties,data/symbol-properties/*.csv,data/symbol-properties/symbol-properties-database.csv,symbol_properties,FALSE,0,"Source file present on disk",N/A - never ingested,not ingested - source present,Matches doc closely
nautilus_catalog,data/nautilus_catalog/**/*.parquet,"data/nautilus_catalog/data/equity/**/*.parquet and data/nautilus_catalog/data/trade_tick/**/*.parquet (two separate globs)",nautilus_equity (VIEW); nautilus_trade_tick (VIEW),FALSE,0,"582 equity ticker dirs; 538 trade_tick ticker dirs present on disk",N/A - never ingested,not ingested - source abundant,Doc collapses two distinct view sources into one glob path and does not name the views
trade_data,data/trade_data/*.parquet,"data/trade_data/momentum_events_for_collection.parquet plus subfolders: batches/, by_date/, by_ticker/, enhanced/, high_momentum/ (each **/*.parquet)",trade_data_events; trade_data_batches; trade_data_by_date; trade_data_by_ticker; trade_data_enhanced; trade_data_high_momentum,FALSE,0,"events file present (171KB); batches=0 parquet files; by_date=0 parquet files; by_ticker=0 parquet files; enhanced=5 parquet files; high_momentum=0 parquet files (EMPTY - matches known high_momentum deletion)",N/A - never ingested,not ingested AND source-broken for 4 of 6 sub-targets,"TOP-LINE FINDING: actual code at ingest.py L516 references data/trade_data/high_momentum as a source subfolder. That directory is now empty (0 files) following prior cleanup. _safe_glob returns [] for it so the loader will silently skip creating trade_data_high_momentum with no error, rather than raising. batches/by_date/by_ticker are also empty for unrelated reasons. Doc describes this loader as single table 'trade_data' from single glob data/trade_data/*.parquet - actual code fans out into up to 6 tables from a hardcoded subfolder list not mentioned in the doc. Loader's own code docstring flags this dataset as 'legacy/unknown provenance'."
