ticker,date,size_bytes,mtime
AA,2020-03-24,6626687,1763787920.122895
AACG,2020-02-18,28723,1763787921.2510414
AACG,2020-03-20,21096,1763787922.4204912
AACG,2020-06-11,104730,1763787923.640344
AACG,2020-06-16,263703,1763787924.8904648
AACG,2020-08-03,69411,1763787926.077439
AACG,2020-10-12,123461,1763787927.3377006
AACG,2021-02-04,52892616,1763787959.4417708
AACG,2021-03-26,1291785,1763787961.530796
AACG,2021-07-15,7552768,1763787973.4003584
AACG,2022-01-04,2253141,1763787978.646355
AACG,2022-01-07,1649062,1763787982.0666327
AACG,2023-12-27,53844,1763787984.2154362
AAL,2020-03-24,29215732,1763788037.8508222
AAL,2020-06-04,62523888,1763788118.47637
AAL,2020-06-05,116469514,1763788268.4725723
AAL,2021-01-28,79080724,1763788347.552371
AAME,2020-06-17,45515,1763788349.2862723
AAME,2020-08-11,42742,1763788350.3965046
AAME,2020-08-19,77603,1763788351.5483036
AAME,2021-01-05,397502,1763788353.1221864
AAME,2021-02-05,28414378,1763788391.0114312
AAME,2021-02-08,30587827,1763788427.7358823
AAME,2021-02-12,706266,1763788430.24139
AAME,2021-03-19,5734690,1763788434.1099849
AAOI,2022-09-16,11592110,1763788440.0906987
AAOI,2023-08-04,8411053,1763788444.532679
AAOI,2024-11-08,8878978,1763788449.7134993
AB,2020-03-19,1507100,1763788451.4380043
ABAT,2024-12-18,4290719,1763788454.425083
ABAT,2024-12-19,4991378,1763788457.7122345
ABAT,2024-12-23,7422222,1763788462.2503293
ABAT,2024-12-24,12564453,1763788469.494977
ABAT,2024-12-26,6558669,1763788474.0045235
ABAT,2024-12-27,10383485,1763788488.0561466
ABCL,2021-03-31,2279686,1763788492.8609033
ABEO,2020-03-17,822391,1763788494.5622456
ABEO,2021-02-08,2359350,1763788497.6624255
ABEO,2022-10-07,1184264,1763788499.688912
ABL,2023-08-28,73695,1763788500.8147466
ABLV,2023-11-17,88667,1763788501.958347
ABLV,2024-01-16,113554,1763788503.0956233
ABLV,2024-08-07,22802,1763788504.217973
ABLV,2024-08-12,35843,1763788505.370603
ABOS,2022-09-28,17475686,1763788530.4702032
ABOS,2023-05-05,422307,1763788532.0410993
ABOS,2023-07-17,12892984,1763788543.8089256
ABP,2024-12-19,4909761,1763788550.906943
ABP,2024-12-20,8841724,1763788558.7427266
ABP,2024-12-27,687321,1763788561.2411745
ABR,2020-03-20,2736326,1763788566.2805874
ABR,2020-03-25,2200947,1763788570.02149
ABR,2020-03-26,2944372,1763788575.0033624
ABR,2020-04-06,1870659,1763788578.0244136
ABSI,2022-01-07,12037779,1763788597.1872604
ABSI,2022-08-11,3854808,1763788604.552032
ABSI,2023-05-22,885708,1763788606.8307378
ABSI,2023-12-04,820091,1763788608.7521613
ABSI,2023-12-26,1049955,1763788610.7426193
ABSI,2023-12-27,1917037,1763788613.3787963
ABTS,2023-12-27,59861,1763788614.5206888
ABTS,2024-12-31,942194,1763788616.196696
ABUS,2020-03-19,274522,1763788617.5475097
ABUS,2020-05-19,2497124,1763788620.2960887
ABUS,2020-07-20,3452430,1763788627.874202
ABUS,2020-07-23,16185209,1763788658.5436125
ABUS,2020-07-24,47118590,1763788709.0465844
ABUS,2020-12-14,3445247,1763788715.758393
ABUS,2021-12-01,38332180,1763788741.9924977
ABVC,2021-08-10,902513,1763788743.7230384
ABVC,2021-08-23,2181383,1763788745.641879
ABVC,2021-09-01,9966442,1763788751.487991
ABVC,2021-09-28,473069,1763788752.8557525
ABVC,2021-10-15,1820911,1763788754.763902
ABVC,2021-11-01,23804264,1763788784.4564512
ABVC,2022-03-09,182997,1763788786.9861524
ABVC,2022-06-13,323610,1763788788.4832628
ABVC,2023-01-05,6454279,1763788799.7581487
ABVC,2023-03-14,41178,1763788800.936792
ABVC,2023-07-26,10262043,1763788816.1938057
ABVC,2023-08-01,3750271,1763788822.9414468
ABVC,2023-10-26,17147277,1763788851.326636
ABVC,2023-11-16,2868241,1763788854.7811205
ABVC,2023-11-21,2931655,1763788857.4334054
ABVC,2024-01-03,15178342,1763788881.0593264
ABVC,2024-03-26,4433800,1763788885.6889188
ABVC,2024-04-23,1086885,1763788887.3596761
ABVE,2024-08-02,175987,1763788888.5728464
ABVE,2024-08-09,1420004,1763788890.3034244
ABVE,2024-11-27,1004107,1763788891.9487398
ACAD,2023-12-13,6426864,1763788896.449736
ACB,2020-03-26,16516376,1763788919.183009
ACB,2020-05-15,26989271,1763788935.6223392
ACB,2020-05-18,47658963,1763788958.218344
ACB,2020-05-21,27776724,1763788993.494525
ACB,2020-11-05,24841754,1763789031.4448185
ACB,2020-11-06,107386688,1763789111.318118
ACB,2020-11-09,123418730,1763789197.3450558
ACB,2020-11-24,20393359,1763789208.1971738
ACB,2023-09-11,11810918,1763789223.418406
ACB,2024-04-03,10732533,1763789237.414909
ACB,2024-04-30,8327053,1763789249.9502127
ACEL,2020-03-24,206391,1763789251.537279
ACET,2020-09-18,144159,1763789252.7471426
ACET,2020-09-23,856958,1763789255.5205345
ACET,2021-02-10,577949,1763789256.9152615
ACET,2021-12-06,13106279,1763789274.8711636
ACET,2024-01-04,1061708,1763789277.8644998
ACET,2024-01-09,2457563,1763789279.84208
ACFN,2023-02-23,10906,1763789280.9327137
ACFN,2023-08-10,12311,1763789282.0165634
ACFN,2023-09-07,21407,1763789283.0899217
ACFN,2024-05-06,11733,1763789284.1738882
ACHC,2020-03-26,2118202,1763789286.1482432
ACHR,2023-07-31,10419156,1763789293.4389083
ACHR,2024-11-25,16714699,1763789320.319382
ACHR.WS,2021-11-01,121207,1763789321.6284025
ACHR.WS,2023-06-29,93789,1763789322.9952424
ACHR.WS,2023-07-31,102124,1763789324.2175198
ACHR.WS,2023-08-11,67219,1763789326.3520036
ACHR.WS,2023-11-14,158998,1763789327.5883486
ACHR.WS,2023-11-15,167189,1763789328.8230157
ACHR.WS,2024-01-22,24454,1763789330.0143425
ACHR.WS,2024-11-21,153672,1763789331.3182127
ACHR.WS,2024-11-25,287328,1763789332.7261803
ACHR.WS,2024-11-27,195010,1763789334.3610518
ACHR.WS,2024-12-13,129051,1763789335.697025
ACHV,2020-07-29,6505315,1763789344.650849
ACHV,2020-07-31,7023108,1763789350.1861129
ACHV,2021-01-21,1996450,1763789352.6359305
ACHV,2023-01-10,148202,1763789353.903339
ACIC,2021-02-10,9324447,1763789360.3813524
ACIC,2023-11-14,926208,1763789362.338523
ACIU,2020-07-16,12724017,1763789382.276677
ACIU,2021-02-04,839915,1763789384.5974991
ACIU,2021-02-11,8318735,1763789399.4091983
ACIU,2021-06-07,2231426,1763789404.1226006
ACIU,2021-08-31,21790850,1763789437.7727892
ACIU,2023-06-27,9670182,1763789452.929083
ACIU,2024-05-13,8293966,1763789460.4264858
ACLX,2022-06-08,898285,1763789462.1090863
ACLX,2022-12-09,2695527,1763789464.8968267
ACMR,2022-11-07,1962672,1763789467.1493466
ACMR,2023-01-03,1351183,1763789468.9382198
ACMR,2024-02-28,6359811,1763789474.8764493
