dest_dir,ticker,date,schema_ok,n_trades,unit_guess,unit_ok,pct_whole_second,granularity_ok,rows_ok,min_ts,max_ts,error,PASS
ACFN_2023-02-23_36.13,ACFN,2023-02-23,True,12,ns,True,0.0,True,True,1677077994993000000,1677184462396000000,,True
ACON_2022-04-27_65.31,ACON,2022-04-27,True,44029,ns,True,0.0013854504985350564,True,True,1650960007920000000,1651103995327000000,,True
ACON_2022-05-04_45.93,ACON,2022-05-04,True,87793,ns,True,0.0012073855546569773,True,True,1651565022141000000,1651708796219000000,,True
ACON_2022-06-22_35.12,ACON,2022-06-22,True,1270,ns,True,0.0007874015748031496,True,True,1655818200261000000,1655939248545000000,,True
ACON_2022-07-12_31.36,ACON,2022-07-12,True,3526,ns,True,0.0008508224617129892,True,True,1657526620038000000,1657670381179000000,,True
ACON_2022-08-02_66.51,ACON,2022-08-02,True,11822,ns,True,0.0009304686178311623,True,True,1659341588612000000,1659484104258000000,,True
ACON_2022-08-18_100.68,ACON,2022-08-18,True,13915,ns,True,0.0005030542579949694,True,True,1660734846643000000,1660867178110000000,,True
ACON_2022-08-22_72.40,ACON,2022-08-22,True,12047,ns,True,0.0015771561384577072,True,True,1660896003486000000,1661212669142000000,,True
ACON_2022-12-23_34.02,ACON,2022-12-23,True,304,ns,True,0.0,True,True,1671714003498000000,1671829200846000000,,True
ACON_2022-12-29_36.84,ACON,2022-12-29,True,288,ns,True,0.0,True,True,1672234239530000000,1672359116070000000,,True
ACON_2023-01-11_66.65,ACON,2023-01-11,True,1560,ns,True,0.000641025641025641,True,True,1673361003468000000,1673484368026000000,,True
ACON_2023-02-06_41.17,ACON,2023-02-06,True,486,ns,True,0.00411522633744856,True,True,1675434911601000000,1675730999431000000,,True
ACON_2023-03-17_39.70,ACON,2023-03-17,True,425,ns,True,0.0,True,True,1678973400859000000,1679083200891000000,,True
ACON_2023-04-24_220.31,ACON,2023-04-24,True,295071,ns,True,0.0007150821327748237,True,True,1682071299704000000,1682380799008000000,,True
ACON_2023-05-30_157.63,ACON,2023-05-30,True,155874,ns,True,0.001000808345201894,True,True,1685446288441000000,1685491196966000000,,True
ACON_2023-06-08_53.85,ACON,2023-06-08,True,109737,ns,True,0.0008201427048306405,True,True,1686125463596000000,1686268793595000000,,True
ACON_2023-10-02_38.25,ACON,2023-10-02,True,440,ns,True,0.0,True,True,1695988801216000000,1696290516514000000,,True
ACON_2023-10-25_52.17,ACON,2023-10-25,True,2971,ns,True,0.0006731740154830024,True,True,1698135080522000000,1698276515508000000,,True
ACON_2023-12-19_31.15,ACON,2023-12-19,True,15825,ns,True,0.0009478672985781991,True,True,1702909267378000000,1703033998324000000,,True
ACON_2023-12-20_59.45,ACON,2023-12-20,True,149426,ns,True,0.0011577637091269256,True,True,1702978860508000000,1703120387665000000,,True
ACON_2024-01-04_46.23,ACON,2024-01-04,True,54680,ns,True,0.0008046817849305047,True,True,1704272462695000000,1704416396141000000,,True
ACON_2024-01-05_40.45,ACON,2024-01-05,True,47487,ns,True,0.0007791606123781245,True,True,1704376800001000000,1704502789391000000,,True
ADTX_2020-08-06_143.77,ADTX,2020-08-06,True,391869,ns,True,0.0009161224797062283,True,True,1596614400056000000,1596758397269000000,,True
ADTX_2020-12-11_38.91,ADTX,2020-12-11,True,50291,ns,True,0.0015708576087172656,True,True,1607591155047000000,1607734786616000000,,True
ADTX_2021-01-21_157.85,ADTX,2021-01-21,True,396168,ns,True,0.0008986086710688395,True,True,1611134795903000000,1611277197818000000,,True
ADTX_2021-02-11_36.34,ADTX,2021-02-11,True,51854,ns,True,0.0011763798356925212,True,True,1612948856239000000,1613091566353000000,,True
ADTX_2021-08-25_99.49,ADTX,2021-08-25,True,502282,ns,True,0.0010093931297557946,True,True,1629804203638000000,1629935998910000000,,True
ADTX_2021-10-05_39.49,ADTX,2021-10-05,True,219992,ns,True,0.0006727517364267791,True,True,1633334966302000000,1633478390741000000,,True
ADTX_2021-11-04_47.83,ADTX,2021-11-04,True,45372,ns,True,0.0010358811601868993,True,True,1635926598700000000,1636070394310000000,,True
ADTX_2022-06-14_57.75,ADTX,2022-06-14,True,7367,ns,True,0.0009501832496267137,True,True,1655107994072000000,1655250973472000000,,True
ADTX_2022-06-29_84.49,ADTX,2022-06-29,True,18444,ns,True,0.0003795272175233138,True,True,1656404846019000000,1656547185708000000,,True
ADTX_2022-07-08_115.00,ADTX,2022-07-08,True,139097,ns,True,0.0008914642299977714,True,True,1657180801805000000,1657324799394000000,,True
ADTX_2022-09-09_57.14,ADTX,2022-09-09,True,21335,ns,True,0.0010780407780642137,True,True,1662624437718000000,1662767969386000000,,True
ADTX_2022-09-13_133.39,ADTX,2022-09-13,True,210446,ns,True,0.0007888009275538618,True,True,1662969600028000000,1663113599935000000,,True
ADTX_2022-09-14_54.00,ADTX,2022-09-14,True,299632,ns,True,0.0010012281732258237,True,True,1663056001747000000,1663199998691000000,,True
ADTX_2022-09-26_36.47,ADTX,2022-09-26,True,106719,ns,True,0.0008995586540353639,True,True,1663920326075000000,1664236788222000000,,True
ADTX_2022-09-29_34.64,ADTX,2022-09-29,True,89399,ns,True,0.001029094285170975,True,True,1664352000029000000,1664495988800000000,,True
ADTX_2022-10-07_35.05,ADTX,2022-10-07,True,141093,ns,True,0.0009639032411246482,True,True,1665043202968000000,1665187199812000000,,True
ADTX_2023-01-03_60.23,ADTX,2023-01-03,True,6595,ns,True,0.00030326004548900684,True,True,1672738563587000000,1672793919332000000,,True
ADTX_2023-04-20_122.09,ADTX,2023-04-20,True,100088,ns,True,0.001138997682039805,True,True,1681903046165000000,1682035189738000000,,True
ADTX_2023-08-17_62.94,ADTX,2023-08-17,True,56120,ns,True,0.0010869565217391304,True,True,1692190619654000000,1692316781626000000,,True
ADTX_2023-08-18_65.89,ADTX,2023-08-18,True,128284,ns,True,0.0009120389136603161,True,True,1692274375987000000,1692403152373000000,,True
ADTX_2023-08-23_44.46,ADTX,2023-08-23,True,11476,ns,True,0.0009585221331474381,True,True,1692691601162000000,1692835178107000000,,True
ADTX_2023-08-29_34.12,ADTX,2023-08-29,True,4327,ns,True,0.0013866420152530623,True,True,1693209756793000000,1693352719454000000,,True
ADTX_2023-08-30_57.13,ADTX,2023-08-30,True,6518,ns,True,0.00046026388462718626,True,True,1693296011426000000,1693439858161000000,,True
ADTX_2023-08-31_594.69,ADTX,2023-08-31,True,55709,ns,True,0.0008795706259311781,True,True,1693384814409000000,1693526399550000000,,True
ADTX_2023-09-28_84.05,ADTX,2023-09-28,True,11238,ns,True,0.000800854244527496,True,True,1695801604792000000,1695945550360000000,,True
ADTX_2023-10-18_30.52,ADTX,2023-10-18,True,5283,ns,True,0.0005678591709256105,True,True,1697533620183000000,1697673001301000000,,True
ADTX_2023-11-14_67.87,ADTX,2023-11-14,True,11584,ns,True,0.0012948895027624309,True,True,1699867206094000000,1700009657428000000,,True
ADTX_2023-11-30_51.43,ADTX,2023-11-30,True,84503,ns,True,0.0007692034602321811,True,True,1701262683194000000,1701392384881000000,,True
