ticker,date,momentum_pct_str,dest_dir,migrated
AMPGW,2025-01-03,57.17,AMPGW_2025-01-03_57.17,True
APRE,2025-01-03,40.06,APRE_2025-01-03_40.06,True
AMBP,2025-04-24,30.80,AMBP_2025-04-24_30.80,True
ARBE,2025-01-03,35.78,ARBE_2025-01-03_35.78,True
AMSC,2025-07-31,31.67,AMSC_2025-07-31_31.67,True
ATRA,2025-01-03,32.06,ATRA_2025-01-03_32.06,True
ATOM,2025-01-03,30.02,ATOM_2025-01-03_30.02,True
AIRO,2025-06-16,58.02,AIRO_2025-06-16_58.02,True
BGLC,2025-01-03,31.58,BGLC_2025-01-03_31.58,True
BKYI,2025-01-03,36.69,BKYI_2025-01-03_36.69,True
BDMD,2025-01-03,59.18,BDMD_2025-01-03_59.18,True
CCM,2025-01-03,55.04,CCM_2025-01-03_55.04,True
CHEK,2025-01-03,62.78,CHEK_2025-01-03_62.78,True
CIFRW,2025-01-03,30.08,CIFRW_2025-01-03_30.08,True
AUR,2025-02-13,47.13,AUR_2025-02-13_47.13,True
CLRO,2025-01-03,40.42,CLRO_2025-01-03_40.42,True
BNGO,2025-01-03,48.84,BNGO_2025-01-03_48.84,True
CMCT,2025-04-22,60.82,CMCT_2025-04-22_60.82,True
CTW,2025-09-23,42.79,CTW_2025-09-23_42.79,True
DNOW,2025-02-13,30.48,DNOW_2025-02-13_30.48,True
DOCN,2025-08-05,30.62,DOCN_2025-08-05_30.62,True
EDUC,2025-09-17,34.71,EDUC_2025-09-17_34.71,True
ENTA,2025-02-13,35.29,ENTA_2025-02-13_35.29,True
GTN.A,2025-06-12,31.87,GTN.A_2025-06-12_31.87,True
CXAI,2025-04-04,84.68,CXAI_2025-04-04_84.68,True
LSE,2025-06-13,31.31,LSE_2025-06-13_31.31,True
LC,2025-07-30,31.50,LC_2025-07-30_31.50,True
AREB,2025-04-04,427.53,AREB_2025-04-04_427.53,True
OESX,2025-08-06,36.82,OESX_2025-08-06_36.82,True
PCTTU,2025-06-17,42.38,PCTTU_2025-06-17_42.38,True
ODP,2025-09-22,33.81,ODP_2025-09-22_33.81,True
GO,2025-08-06,45.16,GO_2025-08-06_45.16,True
MYGN,2025-08-06,48.58,MYGN_2025-08-06_48.58,True
RUBI,2025-08-05,35.29,RUBI_2025-08-05_35.29,True
PEGA,2025-04-23,35.37,PEGA_2025-04-23_35.37,True
SAGT,2025-04-24,37.09,SAGT_2025-04-24_37.09,True
SOPA,2025-02-13,41.57,SOPA_2025-02-13_41.57,True
SEAT,2025-08-06,71.57,SEAT_2025-08-06_71.57,True
PLUG,2025-06-09,30.52,PLUG_2025-06-09_30.52,True
SPAI,2025-02-13,65.76,SPAI_2025-02-13_65.76,True
TCMD,2025-08-05,39.79,TCMD_2025-08-05_39.79,True
XHG,2025-02-13,77.68,XHG_2025-02-13_77.68,True
TDW,2025-08-05,31.00,TDW_2025-08-05_31.00,True
XRTX,2025-02-27,50.06,XRTX_2025-02-27_50.06,True
STAA,2025-08-05,46.94,STAA_2025-08-05_46.94,True
SAFX,2025-06-17,46.15,SAFX_2025-06-17_46.15,True
ACON,2025-01-03,172.46,ACON_2025-01-03_172.46,True
