ticker,date,status,detail
AMPGW,2025-01-03,written,42
APRE,2025-01-03,written,1365
AMBP,2025-04-24,written,32777
ARBE,2025-01-03,written,23582
AMSC,2025-07-31,written,69532
ATRA,2025-01-03,written,5611
ATOM,2025-01-03,written,20997
AIRO,2025-06-16,written,134695
BGLC,2025-01-03,written,12500
BKYI,2025-01-03,written,2292
BDMD,2025-01-03,written,36448
CCM,2025-01-03,written,1551
CHEK,2025-01-03,written,54451
CIFRW,2025-01-03,written,139
AUR,2025-02-13,written,157573
CLRO,2025-01-03,written,11233
BNGO,2025-01-03,written,71102
CMCT,2025-04-22,written,10411
CTW,2025-09-23,written,12538
DNOW,2025-02-13,written,23529
DOCN,2025-08-05,written,111875
EDUC,2025-09-17,written,76660
ENTA,2025-02-13,written,14776
GTN.A,2025-06-12,written,885
CXAI,2025-04-04,written,225586
LSE,2025-06-13,written,1181
LC,2025-07-30,written,79963
AREB,2025-04-04,written,695417
OESX,2025-08-06,written,3867
PCTTU,2025-06-17,written,85
ODP,2025-09-22,written,37743
GO,2025-08-06,written,182702
MYGN,2025-08-06,written,104800
RUBI,2025-08-05,written,71664
PEGA,2025-04-23,written,66219
SAGT,2025-04-24,written,619
SOPA,2025-02-13,written,16018
SEAT,2025-08-06,written,23489
PLUG,2025-06-09,written,119602
SPAI,2025-02-13,written,7293
TCMD,2025-08-05,written,16118
XHG,2025-02-13,written,50554
TDW,2025-08-05,written,64217
XRTX,2025-02-27,written,2759
STAA,2025-08-05,written,109630
SAFX,2025-06-17,written,217628
ACON,2025-01-03,written,231292
