ticker,date,fetch_status,fetch_detail,schema_fingerprint,has_sip_timestamp,has_participant_timestamp,timestamp_col_used,n_trades,unit_guess,pct_whole_second,granularity_ok,min_ts,max_ts,audit_status,PASS
AMPGW,2025-01-03,written,42,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,42,ns,0.0,True,1735914600685589602,1735938000295689259,PASS,True
APRE,2025-01-03,written,1365,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,1365,ns,0.0,True,1735911642148784776,1735951240466139810,PASS,True
AMBP,2025-04-24,written,32777,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,32777,ns,0.0,True,1745487808508163072,1745538727867918592,PASS,True
ARBE,2025-01-03,written,23582,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,23582,ns,0.0,True,1735895092006527734,1735952373896165337,PASS,True
AMSC,2025-07-31,written,69532,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,69532,ns,0.0,True,1753948800014440523,1754006380562797968,PASS,True
ATRA,2025-01-03,written,5611,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,5611,ns,0.0,True,1735896788129016602,1735951973980088408,PASS,True
ATOM,2025-01-03,written,20997,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,20997,ns,0.0,True,1735895635591267552,1735952397339340719,PASS,True
AIRO,2025-06-16,written,134695,"[[""conditions"", null], [""correction"", ""DOUBLE""], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,134695,ns,0.0,True,1750060800067012695,1750118396406156787,PASS,True
BGLC,2025-01-03,written,12500,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,12500,ns,0.0,True,1735894800025602483,1735952258360448879,PASS,True
BKYI,2025-01-03,written,2292,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,2292,ns,0.0,True,1735895081057185597,1735951463479807779,PASS,True
BDMD,2025-01-03,written,36448,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,36448,ns,0.0,True,1735894800012657683,1735952318604929103,PASS,True
CCM,2025-01-03,written,1551,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,1551,ns,0.0,True,1735910836171889408,1735948800001595136,PASS,True
CHEK,2025-01-03,written,54451,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,54451,ns,0.0,True,1735894800000798832,1735952366564685160,PASS,True
CIFRW,2025-01-03,written,139,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,139,ns,0.0,True,1735914601266010591,1735938000427255595,PASS,True
AUR,2025-02-13,written,157573,"[[""conditions"", null], [""correction"", ""DOUBLE""], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""DOUBLE""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,157573,ns,0.0,True,1739437200019466717,1739494774010136949,PASS,True
CLRO,2025-01-03,written,11233,"[[""conditions"", null], [""decimal_size"", ""BYTE_ARRAY""], [""element"", ""INT64""], [""exchange"", ""INT64""], [""id"", ""BYTE_ARRAY""], [""list"", null], [""participant_timestamp"", ""INT64""], [""price"", ""DOUBLE""], [""schema"", null], [""sequence_number"", ""INT64""], [""sip_timestamp"", ""INT64""], [""size"", ""INT64""], [""tape"", ""INT64""], [""trf_id"", ""DOUBLE""], [""trf_timestamp"", ""DOUBLE""]]",True,True,sip_timestamp,11233,ns,0.0,True,1735895345354947610,1735952362113506293,PASS,True
