source_path,dest_path,size_bytes,source_sha256,dest_sha256,match,status,error
D:\Trading Research\hawkes-ofi-impact\.gitignore,E:\Trading Research\hawkes-ofi-impact\.gitignore,705,6e767aa04e94384b9c6fe520e1d46ca3d3d9bee0fc27c0bd8af24d996da7c0eb,6e767aa04e94384b9c6fe520e1d46ca3d3d9bee0fc27c0bd8af24d996da7c0eb,True,OK,
D:\Trading Research\hawkes-ofi-impact\CLAUDE.md,E:\Trading Research\hawkes-ofi-impact\CLAUDE.md,26879,c327189f75a5adf18e8d880ce2b59330f1330cac6b3d7f051acb7fbbb4fa5e78,c327189f75a5adf18e8d880ce2b59330f1330cac6b3d7f051acb7fbbb4fa5e78,True,OK,
D:\Trading Research\hawkes-ofi-impact\MEMORY.md,E:\Trading Research\hawkes-ofi-impact\MEMORY.md,17466,5b4292cb5791683b94e68054061627b086a65634a9d797e7e87cd1311efd387d,5b4292cb5791683b94e68054061627b086a65634a9d797e7e87cd1311efd387d,True,OK,
D:\Trading Research\hawkes-ofi-impact\.claude\scheduled_tasks.lock,E:\Trading Research\hawkes-ofi-impact\.claude\scheduled_tasks.lock,90,3e3fce21ccb026f66995b1859dcfb5cb4e65dc27ba04d972dafab5226698a85b,3e3fce21ccb026f66995b1859dcfb5cb4e65dc27ba04d972dafab5226698a85b,True,OK,
D:\Trading Research\hawkes-ofi-impact\.claude\settings.local.json,E:\Trading Research\hawkes-ofi-impact\.claude\settings.local.json,2829,8fed376054232935a41f66513166a7610e26f4116d9fd5d7b7f7ca0b671f6319,8fed376054232935a41f66513166a7610e26f4116d9fd5d7b7f7ca0b671f6319,True,OK,
D:\Trading Research\hawkes-ofi-impact\.claude\skills\calibration\SKILL.md,E:\Trading Research\hawkes-ofi-impact\.claude\skills\calibration\SKILL.md,14808,e871c48cd994a151ec3dcf71122000b17753dda0b8d782bcd4a0daa8f085edea,e871c48cd994a151ec3dcf71122000b17753dda0b8d782bcd4a0daa8f085edea,True,OK,
D:\Trading Research\hawkes-ofi-impact\.claude\skills\duckdb\SKILL.md,E:\Trading Research\hawkes-ofi-impact\.claude\skills\duckdb\SKILL.md,12141,6787c36fdbc9bb967460b0fbc44d374bcc6b4f7a7e917fbd346db6338850257c,6787c36fdbc9bb967460b0fbc44d374bcc6b4f7a7e917fbd346db6338850257c,True,OK,
D:\Trading Research\hawkes-ofi-impact\.claude\skills\gpu\SKILL.md,E:\Trading Research\hawkes-ofi-impact\.claude\skills\gpu\SKILL.md,12116,d61220bd5f1b036041912358ea3c3d994a695ca1839e9add9e474c144a90dd71,d61220bd5f1b036041912358ea3c3d994a695ca1839e9add9e474c144a90dd71,True,OK,
D:\Trading Research\hawkes-ofi-impact\.claude\skills\math_spec\SKILL.md,E:\Trading Research\hawkes-ofi-impact\.claude\skills\math_spec\SKILL.md,17588,9ab0f141b60e95d73dc9c071950bc0708334d2fe57516af72441831adca75bb4,9ab0f141b60e95d73dc9c071950bc0708334d2fe57516af72441831adca75bb4,True,OK,
D:\Trading Research\hawkes-ofi-impact\.claude\skills\numba\SKILL.md,E:\Trading Research\hawkes-ofi-impact\.claude\skills\numba\SKILL.md,12872,62970493579ab445766399e5e56dcb75507939e31cd7300caef3fd1f9b0364b9,62970493579ab445766399e5e56dcb75507939e31cd7300caef3fd1f9b0364b9,True,OK,
D:\Trading Research\hawkes-ofi-impact\.claude\skills\testing\SKILL.md,E:\Trading Research\hawkes-ofi-impact\.claude\skills\testing\SKILL.md,17685,4e7cbed172ae7a473d3fd8f6dd621439e1612fc8e23c74193cfcbb6ce4198343,4e7cbed172ae7a473d3fd8f6dd621439e1612fc8e23c74193cfcbb6ce4198343,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\COMMIT_EDITMSG,E:\Trading Research\hawkes-ofi-impact\.git\COMMIT_EDITMSG,14,aae3099162f74669f72519a85aee2a352caf152d4aa71ab9782acc4b0b97db68,aae3099162f74669f72519a85aee2a352caf152d4aa71ab9782acc4b0b97db68,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\config,E:\Trading Research\hawkes-ofi-impact\.git\config,401,4623543c0e8004606e8fa96115f7e7991f471e415acfaeac22bfc26123433239,4623543c0e8004606e8fa96115f7e7991f471e415acfaeac22bfc26123433239,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\description,E:\Trading Research\hawkes-ofi-impact\.git\description,73,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\FETCH_HEAD,E:\Trading Research\hawkes-ofi-impact\.git\FETCH_HEAD,266,b3230f50afa22e514caaf981656e186ef3094eb8a702b3a1ba18a2598f103e61,b3230f50afa22e514caaf981656e186ef3094eb8a702b3a1ba18a2598f103e61,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\HEAD,E:\Trading Research\hawkes-ofi-impact\.git\HEAD,21,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\index,E:\Trading Research\hawkes-ofi-impact\.git\index,105701,6b73ed47c615bb75cb9e51de1a0c0f7d528b3205e0edd713a5e6a23dfd6a8032,6b73ed47c615bb75cb9e51de1a0c0f7d528b3205e0edd713a5e6a23dfd6a8032,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\hooks\applypatch-msg.sample,E:\Trading Research\hawkes-ofi-impact\.git\hooks\applypatch-msg.sample,478,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\hooks\commit-msg.sample,E:\Trading Research\hawkes-ofi-impact\.git\hooks\commit-msg.sample,896,1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437,1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\hooks\fsmonitor-watchman.sample,E:\Trading Research\hawkes-ofi-impact\.git\hooks\fsmonitor-watchman.sample,4726,e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0,e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\hooks\post-update.sample,E:\Trading Research\hawkes-ofi-impact\.git\hooks\post-update.sample,189,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\hooks\pre-applypatch.sample,E:\Trading Research\hawkes-ofi-impact\.git\hooks\pre-applypatch.sample,424,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\hooks\pre-commit.sample,E:\Trading Research\hawkes-ofi-impact\.git\hooks\pre-commit.sample,1649,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\hooks\pre-merge-commit.sample,E:\Trading Research\hawkes-ofi-impact\.git\hooks\pre-merge-commit.sample,416,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,True,OK,
D:\Trading Research\hawkes-ofi-impact\.git\hooks\pre-push.sample,E:\Trading Research\hawkes-ofi-impact\.git\hooks\pre-push.sample,1374,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a,True,OK,
