ticker,event_date,momentum_pct,filtered_dirname,expected_quote_data_file,found_in_quote_data
AACG,2025-07-21,40.24,AACG_2025-07-21_40.24,AACG_quotes_2025_07_21.parquet,True
AACG,2025-07-30,37.29,AACG_2025-07-30_37.29,AACG_quotes_2025_07_30.parquet,True
AACG,2025-07-31,35.29,AACG_2025-07-31_35.29,AACG_quotes_2025_07_31.parquet,True
AACG,2025-08-04,38.89,AACG_2025-08-04_38.89,AACG_quotes_2025_08_04.parquet,True
AAME,2025-08-14,30.61,AAME_2025-08-14_30.61,AAME_quotes_2025_08_14.parquet,True
AAOI,2025-03-14,49.28,AAOI_2025-03-14_49.28,AAOI_quotes_2025_03_14.parquet,True
AAOI,2025-04-09,35.56,AAOI_2025-04-09_35.56,AAOI_quotes_2025_04_09.parquet,True
AAPB,2025-04-09,31.41,AAPB_2025-04-09_31.41,AAPB_quotes_2025_04_09.parquet,True
AAPU,2025-04-09,32.07,AAPU_2025-04-09_32.07,AAPU_quotes_2025_04_09.parquet,True
AAP,2025-05-22,59.82,AAP_2025-05-22_59.82,AAP_quotes_2025_05_22.parquet,True
AARD,2025-02-20,31.41,AARD_2025-02-20_31.41,AARD_quotes_2025_02_20.parquet,True
ABAT,2025-04-29,33.91,ABAT_2025-04-29_33.91,ABAT_quotes_2025_04_29.parquet,True
ABAT,2025-07-21,37.50,ABAT_2025-07-21_37.50,ABAT_quotes_2025_07_21.parquet,True
ABAT,2025-10-13,50.81,ABAT_2025-10-13_50.81,ABAT_quotes_2025_10_13.parquet,True
ABAT,2025-10-20,41.65,ABAT_2025-10-20_41.65,ABAT_quotes_2025_10_20.parquet,True
ABEO,2025-04-30,38.18,ABEO_2025-04-30_38.18,ABEO_quotes_2025_04_30.parquet,True
ABLLL,2025-01-07,31.62,ABLLL_2025-01-07_31.62,ABLLL_quotes_2025_01_07.parquet,True
ABLV,2025-01-08,33.09,ABLV_2025-01-08_33.09,ABLV_quotes_2025_01_08.parquet,True
ABLV,2025-02-11,70.44,ABLV_2025-02-11_70.44,ABLV_quotes_2025_02_11.parquet,True
ABLV,2025-03-07,138.55,ABLV_2025-03-07_138.55,ABLV_quotes_2025_03_07.parquet,True
ABLV,2025-03-19,40.62,ABLV_2025-03-19_40.62,ABLV_quotes_2025_03_19.parquet,True
ABLV,2025-09-10,70.21,ABLV_2025-09-10_70.21,ABLV_quotes_2025_09_10.parquet,True
ABP,2025-05-15,130.36,ABP_2025-05-15_130.36,ABP_quotes_2025_05_15.parquet,True
ABP,2025-05-19,43.43,ABP_2025-05-19_43.43,ABP_quotes_2025_05_19.parquet,True
ABP,2025-05-28,30.41,ABP_2025-05-28_30.41,ABP_quotes_2025_05_28.parquet,True
