ticker,event_date,momentum_pct,filtered_dirname,quote_data_file,status,error,filtered_row_count,filtered_distinct_sip_ts,filtered_dedup_ratio,quote_data_row_count,coverage_ratio,filtered_min_sip_ts,filtered_max_sip_ts,quote_data_min_ts,quote_data_max_ts,span_ratio
HOWL,2023-01-06,33.03,HOWL_2023-01-06_33.03,HOWL_quotes_2023_01_06.parquet,OK,,18190,18190,1.0,3927,0.21588785046728973,1672736400006565791,1673484934413883799,1672995600007320651,1673053121966893599,0.07684611289820151
CGC,2023-09-11,92.10,CGC_2023-09-11_92.10,CGC_quotes_2023_09_11.parquet,OK,,727391,727391,1.0,165065,0.22692747092004162,1693987140088831993,1694735994337338555,1694419140122915201,1694476796674978532,0.07699302257857962
KOS,2020-11-09,30.30,KOS_2020-11-09_30.30,KOS_quotes_2020_11_09.parquet,OK,,71595,67959,0.9492143306096794,14544,0.2031426775612822,1604493334302079744,1605308269600120832,1604923200110844416,1604970000233474816,0.0574280224981007
SLXN,2024-10-22,36.95,SLXN_2024-10-22_36.95,SLXN_quotes_2024_10_22.parquet,OK,,47798,47798,1.0,13272,0.2776685216954684,1729151940044992705,1729900770612942611,1729583940010759188,1729641582546382670,0.07697673958648824
APVO,2024-07-17,95.79,APVO_2024-07-17_95.79,APVO_quotes_2024_07_17.parquet,OK,,239400,239391,0.9999624060150376,181612,0.7586131996658313,1720771140090204289,1721692708162119800,1721203140083520999,1721260790468159452,0.06255683806256947
AUID,2023-01-30,58.71,AUID_2023-01-30_58.71,AUID_quotes_2023_01_30.parquet,OK,,4715,4715,1.0,1623,0.34422057264050904,1674637201341497208,1675381723417980882,1675069200031107929,1675122743586806599,0.07191667969276679
PACB,2024-07-16,38.27,PACB_2024-07-16_38.27,PACB_quotes_2024_07_16.parquet,OK,,315969,315969,1.0,74760,0.2366054897790606,1720684740027062989,1721431400504448548,1721116740028593106,1721174309392377999,0.07710246561659839
BFRG,2023-03-03,47.99,BFRG_2023-03-03_47.99,BFRG_quotes_2023_03_03.parquet,OK,,28691,28691,1.0,12149,0.4234428914990764,1677574800007725175,1678323155373645001,1677834000035484806,1677891562290081689,0.07691834283319597
ISPC,2024-08-06,30.01,ISPC_2024-08-06_30.01,ISPC_quotes_2024_08_06.parquet,OK,,6915,6915,1.0,2593,0.3749819233550253,1722499140027964608,1723246172316278371,1722931140066999553,1722986894998835298,0.07463523693413265
QUBT,2024-11-13,147.83,QUBT_2024-11-13_147.83,QUBT_quotes_2024_11_13.parquet,OK,,1088997,1088997,1.0,204344,0.1876442267517725,1730969940133130457,1731977999658803238,1731488340011851854,1731545999908970587,0.05719890110680782
