ticker,event_date,momentum_pct,filtered_dirname,quote_data_file,row_count
AREB,2025-01-07,86.29,AREB_2025-01-07_86.29,AREB_quotes_2025_01_07.parquet,5143253
BYND,2025-10-21,162.59,BYND_2025-10-21_162.59,BYND_quotes_2025_10_21.parquet,2407028
BYND,2025-10-22,112.43,BYND_2025-10-22_112.43,BYND_quotes_2025_10_22.parquet,3451945
DNOW,2025-02-13,30.48,DNOW_2025-02-13_30.48,DNOW_quotes_2025_02_13.parquet,81628164
ENTA,2025-02-13,35.29,ENTA_2025-02-13_35.29,ENTA_quotes_2025_02_13.parquet,28230812
INTC,2025-09-18,30.03,INTC_2025-09-18_30.03,INTC_quotes_2025_09_18.parquet,2150304
NVDL,2025-04-09,37.76,NVDL_2025-04-09_37.76,NVDL_quotes_2025_04_09.parquet,2603740
NVDU,2025-04-09,38.24,NVDU_2025-04-09_38.24,NVDU_quotes_2025_04_09.parquet,2175330
OPEN,2025-07-21,120.89,OPEN_2025-07-21_120.89,OPEN_quotes_2025_07_21.parquet,2908455
TQQQ,2025-04-09,37.30,TQQQ_2025-04-09_37.30,TQQQ_quotes_2025_04_09.parquet,8484210
TSLL,2025-04-09,47.56,TSLL_2025-04-09_47.56,TSLL_quotes_2025_04_09.parquet,3116280
TSLQ,2025-06-05,35.54,TSLQ_2025-06-05_35.54,TSLQ_quotes_2025_06_05.parquet,2633609
