ticker,event_date,momentum_pct,deleted_dir
AACG,2025-07-21,40.24,data/filtered/AACG_None_40.24
AACG,2025-07-30,37.29,data/filtered/AACG_None_37.29
AACG,2025-07-31,35.29,data/filtered/AACG_None_35.29
AACG,2025-08-04,38.89,data/filtered/AACG_None_38.89
AAME,2025-08-14,30.61,data/filtered/AAME_None_30.61
AAOI,2025-03-14,49.28,data/filtered/AAOI_None_49.28
AAOI,2025-04-09,35.56,data/filtered/AAOI_None_35.56
AAPB,2025-04-09,31.41,data/filtered/AAPB_None_31.41
AAPU,2025-04-09,32.07,data/filtered/AAPU_None_32.07
AAP,2025-05-22,59.82,data/filtered/AAP_None_59.82
AARD,2025-02-20,31.41,data/filtered/AARD_None_31.41
ABAT,2025-04-29,33.91,data/filtered/ABAT_None_33.91
ABAT,2025-07-21,37.50,data/filtered/ABAT_None_37.50
ABAT,2025-10-13,50.81,data/filtered/ABAT_None_50.81
ABAT,2025-10-20,41.65,data/filtered/ABAT_None_41.65
ABEO,2025-04-30,38.18,data/filtered/ABEO_None_38.18
ABLLL,2025-01-07,31.62,data/filtered/ABLLL_None_31.62
ABLV,2025-01-08,33.09,data/filtered/ABLV_None_33.09
ABLV,2025-02-11,70.44,data/filtered/ABLV_None_70.44
ABLV,2025-03-07,138.55,data/filtered/ABLV_None_138.55
ABLV,2025-03-19,40.62,data/filtered/ABLV_None_40.62
ABLV,2025-09-10,70.21,data/filtered/ABLV_None_70.21
ABP,2025-05-15,130.36,data/filtered/ABP_None_130.36
ABP,2025-05-19,43.43,data/filtered/ABP_None_43.43
ABP,2025-05-28,30.41,data/filtered/ABP_None_30.41
ABP,2025-07-23,32.61,data/filtered/ABP_None_32.61
ABP,2025-07-28,44.26,data/filtered/ABP_None_44.26
ABSI,2025-01-08,37.46,data/filtered/ABSI_None_37.46
ABSI,2025-01-22,36.65,data/filtered/ABSI_None_36.65
ABTS,2025-04-14,33.01,data/filtered/ABTS_None_33.01
