ticker,event_date_canonical,momentum_pct,event_id,t0_print_count,print_decile,coverage_class,flag_cross_session_extreme,flag_possible_row_cap,flag_has_dup_prints,flag_eth_dominant_t0,repaired_1c,flag_window_calendar_bug,flag_missing_event_day
BAOS,2023-12-26,79.24,BAOS_2023-12-26_79.24,8045,1,full_window,True,False,False,False,False,False,False
ISPR,2023-11-14,83.15,ISPR_2023-11-14_83.15,6707,1,full_window,False,False,False,False,True,False,False
IVP,2024-01-04,35.84,IVP_2024-01-04_35.84,7844,1,full_window,True,False,False,False,False,False,False
OST,2024-12-31,31.93,OST_2024-12-31_31.93,6618,1,full_window,True,False,False,False,False,False,False
SINT,2023-02-03,50.25,SINT_2023-02-03_50.25,6702,1,full_window,True,False,False,False,False,False,False
TIVC,2024-07-23,30.54,TIVC_2024-07-23_30.54,5107,1,full_window,False,False,False,False,False,False,False
LIDR,2024-03-21,43.62,LIDR_2024-03-21_43.62,10320,2,full_window,False,False,False,False,False,False,False
PSTV,2020-06-09,44.63,PSTV_2020-06-09_44.63,9501,2,full_window,False,False,False,True,False,False,False
QMMM,2024-12-31,56.36,QMMM_2024-12-31_56.36,12676,2,full_window,False,False,False,False,False,False,False
REKR,2023-02-06,43.09,REKR_2023-02-06_43.09,10280,2,full_window,False,False,False,False,False,False,False
SAH,2020-04-29,33.48,SAH_2020-04-29_33.48,9427,2,full_window,False,False,False,False,False,False,False
WRAP,2024-02-05,71.81,WRAP_2024-02-05_71.81,11001,2,full_window,False,False,False,False,False,False,False
CCO,2020-06-08,31.01,CCO_2020-06-08_31.01,15961,3,full_window,False,False,False,False,False,False,False
GWAV,2024-04-01,40.58,GWAV_2024-04-01_40.58,18199,3,full_window,False,False,False,False,True,False,False
OABI,2022-11-08,30.39,OABI_2022-11-08_30.39,18159,3,full_window,False,False,False,False,True,False,False
SAIH,2024-10-18,53.34,SAIH_2024-10-18_53.34,12752,3,full_window,False,False,False,False,False,False,False
SNES,2020-05-11,30.23,SNES_2020-05-11_30.23,16857,3,full_window,False,False,False,False,False,False,False
VAC,2020-03-24,31.66,VAC_2020-03-24_31.66,16866,3,full_window,False,False,False,False,False,False,False
APWC,2020-10-06,100.75,APWC_2020-10-06_100.75,20691,4,full_window,False,False,False,False,False,False,False
DRTS,2022-03-23,41.96,DRTS_2022-03-23_41.96,26450,4,full_window,False,False,False,False,False,False,False
MDXG,2023-05-03,40.16,MDXG_2023-05-03_40.16,19472,4,full_window,False,False,False,False,False,False,False
SOL,2020-10-09,43.38,SOL_2020-10-09_43.38,23773,4,full_window,False,False,False,False,True,False,False
SYPR,2020-11-12,38.89,SYPR_2020-11-12_38.89,24891,4,full_window,False,False,False,False,True,False,False
TLSA,2021-01-13,49.31,TLSA_2021-01-13_49.31,24724,4,full_window,False,False,False,False,False,False,False
ARQQ,2021-09-21,32.32,ARQQ_2021-09-21_32.32,33800,5,full_window,False,False,False,False,False,False,False
IVP,2024-07-18,54.42,IVP_2024-07-18_54.42,34453,5,full_window,True,False,False,False,False,False,False
PMT,2020-03-25,86.71,PMT_2020-03-25_86.71,34711,5,full_window,True,False,False,False,False,False,False
SELX,2024-03-11,58.57,SELX_2024-03-11_58.57,36983,5,full_window,False,False,False,False,False,False,False
